0.21257418 0.2125742 0.28742582 0.28742582
0.21256486 0.21258353 0.2874258 0.28742582
0.21255553 0.21259286 0.2874258 0.28742585
0.21254618 0.21260218 0.28742573 0.28742588
0.21253686 0.21261151 0.2874257 0.28742594
0.21252751 0.21262084 0.2874256 0.28742602
0.21251819 0.21263017 0.28742552 0.2874261
0.21250884 0.2126395 0.28742543 0.28742623
0.2124995 0.21264882 0.2874253 0.28742635
0.21249016 0.21265815 0.2874252 0.2874265
0.21248081 0.21266747 0.28742504 0.28742668
0.21247147 0.2126768 0.2874249 0.28742686
0.21246213 0.21268612 0.2874247 0.28742704
0.21245278 0.21269545 0.2874245 0.28742728
0.21244343 0.21270476 0.2874243 0.28742748
0.21243408 0.21271409 0.2874241 0.28742775
0.21242473 0.21272342 0.28742385 0.28742802
0.21241537 0.21273273 0.2874236 0.2874283
0.21240601 0.21274206 0.28742334 0.2874286
0.21239665 0.21275137 0.28742304 0.28742892
0.2123873 0.2127607 0.28742275 0.28742924
0.21237794 0.21277003 0.28742245 0.2874296
0.21236856 0.21277934 0.28742212 0.28742996
0.2123592 0.21278867 0.28742176 0.28743035
0.21234983 0.212798 0.2874214 0.28743076
0.21234046 0.21280731 0.28742105 0.28743118
0.21233109 0.21281664 0.28742066 0.28743163
0.21232171 0.21282597 0.28742024 0.28743207
0.21231234 0.21283528 0.28741983 0.28743255
0.21230295 0.21284461 0.2874194 0.28743303
0.21229358 0.21285394 0.28741896 0.28743353
0.21228419 0.21286327 0.28741848 0.28743407
0.2122748 0.21287258 0.287418 0.28743458
0.21226542 0.21288191 0.28741753 0.28743514
0.21225603 0.21289124 0.28741702 0.2874357
0.21224663 0.21290056 0.2874165 0.2874363
0.21223724 0.21290989 0.28741595 0.2874369
0.21222784 0.21291922 0.28741542 0.28743753
0.21221843 0.21292855 0.28741485 0.28743815
0.21220903 0.21293789 0.28741425 0.28743884
0.21219961 0.21294722 0.28741366 0.2874395
